ORGANIZATION,CITY,STATE,AWARDS,FUNDING,YEAR
"ADVANCED CIRCULATORY SYSTEMS, INC.",EDEN PRAIRIE,MN,2,1177517,2010
"ADVANCED DIGITAL SYSTEMS, INC.",Durham,NC,1,143112,2010
"ADVANCED GENETIC SYSTEMS, INC.",SAN FRANCISCO,CA,1,288691,2010
"ADVANCED GENOMIC TECHNOLOGY, LLC",LOUISVILLE,KY,1,121890,2010
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,1,168208,2010
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,2,1313790,2010
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,12,3850539,2010
"ADVANCED MICROLABS, LLC",FORT COLLINS,CO,1,444003,2010
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,1,374920,2010
"ADVANCED NEURAL DYNAMICS, INC.",DOYLESTOWN,PA,1,294315,2010
ADVANCED PROCESS COMBINATORICS,WEST LAFAYETTE,IN,1,143462,2010
"ADVANCED TARGETING SYSTEMS, INC.",SAN DIEGO,CA,1,150480,2010
"ADVANCED TELECARE, LLC",CHAPEL HILL,NC,1,200728,2010
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,1,15000,2010
"ADVR, INC.",BOZEMAN,MT,1,57294,2010
"AEON IMAGING, LLC",BLOOMINGTON,IN,1,921509,2010
AERAS GLOBAL TB VACCINE FOUNDATION,ROCKVILLE,MD,1,94727,2010
"AERODYNE RESEARCH, INC",BILLERICA,MA,1,998113,2010
"AEROMICS, LLC",CLEVELAND,OH,1,754297,2010
"AESTUS THERAPEUTICS, INC.",North Brunswick,NJ,1,981598,2010
"AFASCI, INC.",Redwood City,CA,2,648590,2010
"AFFINERGY ,INC",RESEARCH TRIANGLE PARK,NC,7,5364344,2010
"AFFOMIX, INC.",Branford,CT,3,490293,2010
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,1,28245,2010
"AGENTA BIOTECHNOLOGIES, INC.",BIRMINGHAM,AL,2,764545,2010
"AGENTASE, LLC",PITTSBURGH,PA,0,1000,2010
"AGILE GENOMICS, LLC",Mt Pleasant,SC,1,100000,2010
"AGILE SCIENCES, INC.",RALEIGH,NC,2,537456,2010
"AGILTRON, INC.",WOBURN,MA,1,99920,2010
AGNES SCOTT COLLEGE,DECATUR,GA,2,265695,2010
"AGRI-ANALYSIS, LLC",West Sacramento,CA,1,339328,2010
"AKESO HEALTH SCIENCES, LLC",WESTLAKE VILLAGE,CA,1,264075,2010
"AKINA, INC.",WEST LAFAYETTE,IN,1,381341,2010
"AKONNI BIOSYSTEMS, INC.",Frederick,MD,2,1194514,2010
ALABAMA STATE UNIVERSITY,MONTGOMERY,AL,1,338288,2010
ALAN GUTTMACHER INSTITUTE,NEW YORK,NY,2,563585,2010
ALBANY COLLEGE OF PHARMACY,ALBANY,NY,4,965582,2010
ALBANY MEDICAL COLLEGE,ALBANY,NY,45,12875765,2010
"ALBANY RESEARCH INSTITUTE, INC.",ALBANY,NY,1,268006,2010
ALBANY STATE UNIVERSITY,ALBANY,GA,3,1315853,2010
"ALBA-TECHNIC, LLC",ARUNDEL,ME,1,397384,2010
ALBERT EINSTEIN COL OF MED YESHIVA UNIV,BRONX,NY,329,155645441,2010
ALBERT EINSTEIN HEALTHCARE NETWORK,PHILADELPHIA,PA,3,1315624,2010
ALCHEM LABORATORIES CORPORATION,ALACHUA,FL,2,387000,2010
"ALCOMED, INC.",LEXINGTON,KY,1,239908,2010
ALCOR BIOSEPARATIONS,PALO ALTO,CA,1,226198,2010
ALCORN STATE UNIVERSITY,ALCORN STATE,MS,2,154092,2010
"ALDERON BIOSCIENCES, INC.",Beaufort,NC,1,470619,2010
"ALEXANDER BIODISCOVERIES, LLC",CHARLOTTESVILLE,VA,1,300000,2010
ALFRED I. DU PONT HOSP FOR CHILDREN,WILMINGTON,DE,6,3210430,2010
ALION SCIENCE AND TECHNOLOGY CORP,DURHAM,NC,1,5447184,2010
"ALKERMES, INC.",WALTHAM,MA,1,1061000,2010
"ALKYMOS, INC",LEXINGTON,KY,1,547020,2010
ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,1,187117,2010
ALLEGHENY-SINGER RESEARCH INSTITUTE,PITTSBURGH,PA,5,1637579,2010
"ALLEGRO DIAGNOSTICS, INC.",BOSTON,MA,1,1823081,2010
ALLELE BIOTECHNOLOGY AND PHARMACEUTICALS,SAN DIEGO,CA,1,199918,2010
ALLEN INSTITUTE FOR BRAIN SCIENCE,SEATTLE,WA,3,1117191,2010
"ALLIED INNOVATIVE SYSTEMS, LLC",HILLSBOROUGH,NJ,1,184784,2010
ALLINA HEALTH SYSTEM,MINNEAPOLIS,MN,1,192281,2010
"ALLUVIUM BIOSCIENCES, INC.",ANN ARBOR,MI,1,114971,2010
ALMA COLLEGE,ALMA,MI,1,64051,2010
"ALPHA GENESIS, INC.",YEMASSEE,SC,1,1117112,2010
"ALPHA OMEGA BIOTECHNOLOGY SERVICES, LLC",WOODBINE,MD,1,2361214,2010
"ALPHACORE PHARMA, LLC",ANN ARBOR,MI,1,1022830,2010
"ALPHASNIFFER, LLC",BOULDER,CO,1,150000,2010
"ALPHASNIFFER, LLC",BOULDER,CO,1,99521,2010
ALTARUM INSTITUTE,ANN ARBOR,MI,1,317162,2010
ALTOR BIOSCIENCE CORPORATION,MIRAMAR,FL,1,990016,2010
"ALTRAVAX, INC.",FRAGO,ND,3,897911,2010
"ALTRUM TECHNOLOGIES, INC.",VIENNA,VA,2,317808,2010
ALZHEIMER'S DRUG DISCOVERY FOUNDATION,NEW YORK,NY,1,85000,2010
"AM BIOTECHNOLOGIES, LLC",HOUSTON,TX,1,200000,2010
"AM BIOTECHNOLOGIES, LLC",Houston,TX,1,474025,2010
"AMBERGEN, INC",WATERTOWN,MA,4,2132291,2010
"AMBION DIAGNOSTICS, INC.",AUSTIN,TX,5,2329628,2010
AMERICAN ACADEMY OF ADDICTION PSYCHIATRY,East Providence,RI,1,50000,2010
"AMERICAN ACADEMY OF AUDIOLOGY, INC.",RESTON,VA,1,30000,2010
AMERICAN ACADEMY OF HEALTH BEHAVIOR,Rudolph,OH,1,44600,2010
AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS,ROSEMONT,IL,2,48000,2010
AMERICAN ACADEMY OF PEDIATRICS,ELK GROVE VILLAGE,IL,2,593712,2010
AMERICAN ACADEMY-CHILD/ADOLESCENT PSYCH,WASHINGTON,DC,1,1248633,2010
AMERICAN ASSOCIATION FOR CANCER RESEARCH,PHILADELPHIA,PA,3,985983,2010
AMERICAN ASSOCIATION FOR DENTAL RESEARCH,ALEXANDRIA,VA,1,50000,2010
"AMERICAN CANCER SOCIETY, INC.",ATLANTA,GA,1,312578,2010
AMERICAN COLLEGE OF CHEST PHYSICIANS,NORTHBROOK,IL,1,11000,2010
AMERICAN COLLEGE OF MEDICAL GENETICS,BETHESDA,MD,1,3628283,2010
AMERICAN COLLEGE OF RADIOLOGY,RESTON,VA,3,29536673,2010
AMERICAN COLLEGE OF RHEUMATOLOGY,ATLANTA,GA,2,86000,2010
AMERICAN COLLEGE OF SPORTS MEDICINE,INDIANAPOLIS,IN,1,2200,2010
AMERICAN DENTAL ASSOCIATION FOUNDATION,CHICAGO,IL,4,1142912,2010
AMERICAN FEDERATION FOR MEDICAL RESEARCH,BEVERLY,MA,1,55713,2010
AMERICAN FOUNDATION FOR AIDS RESEARCH,NEW YORK,NY,1,1705075,2010
"AMERICAN HEALTH SCIENCES, LLC",SAN FRANCISCO,CA,1,90750,2010
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,2,5451030,2010
AMERICAN INSTITUTES FOR RESEARCH,WASHINGTON,DC,1,900000,2010
AMERICAN LIFE SCIENCE PHARMACEUTICALS,SAN DIEGO,CA,3,1400194,2010
AMERICAN MUSEUM OF NATURAL HISTORY,NEW YORK,NY,1,216480,2010
AMERICAN ORTHOPAEDIC SOCIETY/SPORTS MED,ROSEMONT,IL,1,25000,2010
AMERICAN PHYSICIANS SCIENTISTS ASSN,URBANA,IL,1,56949,2010
AMERICAN PHYSIOLOGICAL SOCIETY,BETHESDA,MD,2,574381,2010
AMERICAN PSYCHIATRIC FOUNDATION,ARLINGTON,VA,2,255483,2010
AMERICAN PSYCHOLOGICAL ASSOCIATION,WASHINGTON,DC,1,246014,2010
AMERICAN PSYCHOPATHOLOGICAL ASSOCIATION,SAINT LOUIS,MO,1,42582,2010
AMERICAN PSYCHOSOCIAL ONCOLOGY SOCIETY,CHARLOTTESVILLE,VA,1,20000,2010
"AMERICAN REGISTRY OF PATHOLOGY, INC.",WASHINGTON,DC,1,122650,2010
AMERICAN SOC OF PED HEMATOLOGY/ONCOLOGY,GLENVIEW,IL,1,10000,2010
AMERICAN SOCIETY FOR BONE & MINERAL RES,WASHINGTON,DC,1,100000,2010
AMERICAN SOCIETY FOR CELL BIOLOGY,BETHESDA,MD,1,581837,2010
AMERICAN SOCIETY FOR INVESTIG PATHOLOGY,BETHESDA,MD,1,10000,2010
AMERICAN SOCIETY FOR MICROBIOLOGY,WASHINGTON,DC,7,217322,2010
AMERICAN SOCIETY FOR NEUROCHEMISTRY,WINDERMERE,FL,1,17500,2010
AMERICAN SOCIETY FOR PARENT & ENTER NUTR,SILVER SPRING,MD,1,22000,2010
AMERICAN SOCIETY OF ADDICTION MEDICINE,CHEVY CHASE,MD,2,49600,2010
AMERICAN SOCIETY OF ANDROLOGY,SCHAUMBURG,IL,2,29500,2010
AMERICAN SOCIETY OF GENE THERAPY,MILWAUKEE,WI,2,23000,2010
AMERICAN SOCIETY OF HEMATOLOGY,WASHINGTON,DC,1,47500,2010
"AMERICAN SOCIETY OF NEPHROLOGY, INC.",WASHINGTON,DC,1,12000,2010
AMERICAN SOCIETY/ CLINICAL IINVESTIGATIO,ANN ARBOR,MI,1,20000,2010
AMERICAN SOCIETY/GRAVITAT/SPACE BIOLOGY,CHAPEL HILL,NC,1,15000,2010
AMERICAN SOCIETY/REPRODUCTIVE IMMUNOLOGY,Vernon Hills,IL,1,6000,2010
AMERICAN SPEECH-LANGUAGE-HEARING ASSN,ROCKVILLE,MD,2,59660,2010
AMERICAN THORACIC SOCIETY,NEW YORK,NY,1,10000,2010
AMERICAN TYPE CULTURE COLLECTION,MANASSAS,VA,5,21691261,2010
AMERICAN UNIVERSITY,WASHINGTON,DC,4,1604513,2010
AMERICAN UROLOGICAL ASSOCIATION,LINTHICUM,MD,1,15000,2010
"AMES TECHNOLOGY, INC.",PORTLAND,OR,2,901890,2010
AMRON CORPORATION,MC LEAN,VA,1,351514,2010
"ANALYTICAL BIOLOGICAL SERVICES, INC.",WILMINGTON,DE,1,2312715,2010
"ANCORA PHARMACEUTICALS, INC.",MEDFORD,MA,1,264110,2010
"ANDROBIOSYS, INC.",BUFFALO,NY,1,999642,2010
"ANERGIX, LLC",MANHATTAN BEACH,CA,1,190690,2010
ANGIOGENEX,NEW YORK,NY,1,163150,2010
ANGIOMA ALLIANCE,NORFOLK,VA,1,10350,2010
ANGION BIOMEDICA CORPORATION,GARDEN CITY,NY,15,11447384,2010
"ANIMA CELL METROLOGY, INC",BERNARDSVILLE,NJ,1,200000,2010
"ANIMOTION, INC.",SAN FRANCISCO,CA,1,124139,2010
"ANTEX BIOLOGICS, INC.",GAITHERSBURG,MD,2,20465355,2010
"ANTEX BIOLOGICS, INC.",GAITHERSBURG,MD,2,690890,2010
"ANTHROTRONIX, INC.",SILVER SPRING,MD,0,66997,2010
"ANTICANCER, INC.",SAN DIEGO,CA,1,374950,2010
"APC BIOTECHNOLOGY SERVICES, INC.",Rockville,MD,1,375000,2010
"APD LIFE SCIENCES, INC.",STATE COLLEGE,PA,1,97535,2010
"APEX BIOMEDICAL COMPANY, LLC",PORTLAND,OR,1,100175,2010
APHIOS CORPORATION,WOBURN,MA,1,263690,2010
APOGEE BIOTECHNOLOGY CORPORATION,Hummelstown,PA,2,568141,2010
"APOIMMUNE, INC",LOUISVILLE,KY,1,403924,2010
"APOLIFE, INC.",DETROIT,MI,1,297532,2010
"APPLIED BIOMATHEMATICS, INC.",SETAUKET,NY,1,374947,2010
APPLIED GENETIC TECHNOLOGIES CORPORATION,ALACHUA,FL,1,143082,2010
"APPLIED GEOSOLUTIONS, LLC",DURHAM,NH,1,149918,2010
"APPLIED NANOTECH, INC.",AUSTIN,TX,1,99237,2010
"APPLIED SCIENCE INNOVATIONS, INC.",TROY,NY,1,350592,2010
"APT THERAPEUTICS, INC.",SAINT LOUIS,MO,3,1338907,2010
"APTAKON, INC.",KANSAS CITY,MO,1,149857,2010
"APTAKON, INC.",KANSAS CITY,MO,1,97500,2010
"ARAVASC, INC.",SUNNYVALE,CA,1,199999,2010
ARBOR VITA CORPORATION,Fremont,CA,4,2421769,2010
"ARCHIEMD, INC.",Boca Raton,FL,1,99948,2010
"ARCHIEMD, INC.",MIAMI BEACH,FL,2,648130,2010
"ARGINETIX, INC.",LUTHERVILLE,MD,1,365333,2010
"ARGOS THERAPEUTICS, INC.",DURHAM,NC,1,15067360,2010
"ARIDIS PHARMACEUTICALS, LLC",SAN JOSE,CA,1,299869,2010
ARIETIS,BOSTON,MA,2,1285549,2010
ARIZONA SCIENCE CENTER,PHOENIX,AZ,1,236746,2010
ARIZONA STATE UNIVERSITY,TEMPE,AZ,1,336943,2010
ARIZONA STATE UNIVERSITY,TEMPE,AZ,95,36413233,2010
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,1,3821728,2010
ARKANSAS CHILDREN'S HOSPITAL RES INST,LITTLE ROCK,AR,16,5153710,2010
"ARMAGEN TECHNOLOGIES, INC.",SANTA MONICA,CA,1,982874,2010
"ARONORA, LLC",PORTLAND,OR,2,695633,2010
ARRAYMAX JOINT VENTURE PARTNERSHIP,GREENBELT,MD,1,258959,2010
"ARRAYOMICS, INC.",SAN DIEGO,CA,1,764622,2010
"ARSERVICES, LTD",LORTON,VA,1,566165,2010
"ARTANN LABORATORIES, INC.",TRENTON,NJ,3,1355032,2010
"ARTERIOCYTE, INC.",CLEVELAND,OH,2,1914324,2010
"ARTHROCHIP, LLC",FRANKLIN,TN,1,883821,2010
"ARTIFICIAL CELL TECHNOLOGIES, INC.",NEW HAVEN,CT,1,300000,2010
"ASH STEVENS, INC.",DETROIT,MI,3,1981000,2010
ASHLAND UNIVERSITY,ASHLAND,OH,1,158996,2010
"ASKLEPIOS BIOPHARMACEUTICAL, INC.",CHAPEL HILL,NC,1,1,2010
"ASPEN MEDISYS, LLC",MARLBOROUGH,MA,1,200000,2010
ASSN/MEDICAL EDUC & RES IN SUBS ABUSE,PROVIDENCE,RI,1,34500,2010
ASSOCIATION /AMERICAN CANCER INSTITUTES,PITTSBURGH,PA,1,25000,2010
ASSOCIATION FOR RES IN VISION & OPHTHAL,ROCKVILLE,MD,2,132530,2010
ASSOCIATION FOR RESEARCH/NERV & MENT DIS,NEW YORK,NY,1,20000,2010
"ASTERAND, INC.",DETROIT,MI,1,5360978,2010
"ASTHMA, INC.",SEATTLE,WA,1,194124,2010
"ASTRAEA THERAPEUTICS, LLC",Mountain View,CA,2,844618,2010
"ATACTIC TECHNOLOGIES, INC.",HOUSTON,TX,2,814889,2010
"ATERIS TECHNOLOGIES, LLC",Bozeman,MT,1,106003,2010
"ATHENA GROUP, INC.",GAINESVILLE,FL,1,392083,2010
"ATHERSYS, INC.",CLEVELAND,OH,2,491525,2010
"ATLANTIC HEALTH SYSTEM, INC.",MORRISTOWN,NJ,1,335043,2010
"ATTOGEN, INC",Worcester,MA,1,188238,2010
AUBURN UNIVERSITY AT AUBURN,AUBURN UNIVERSITY,AL,8,2175404,2010
"AUGER COMMUNICATION, INC.",DURHAM,NC,1,679418,2010
"AUGUSTA PHARMACEUTICALS, INC.",NEWTONVILLE,MA,1,203208,2010
"AURASENSE, LLC",WILMETTE,IL,1,200000,2010
"AURITEC PHARMACEUTICALS, INC.",Santa Monica,CA,2,1375998,2010
"AUTOIMMUNE TECHNOLOGIES, LLC",NEW ORLEANS,LA,1,1305089,2010
"AUXAGEN, INC.",SAINT LOUIS,MO,1,493105,2010
"AVANTGEN, INC.",SAN DIEGO,CA,3,1049951,2010
"AVANTGEN, INC.",SAN DIEGO,CA,1,277115,2010
"AVAXIA BIOLOGICS, INC.",WAYLAND,MA,1,213589,2010
AVIDBIOTICS CORPORATION,SOUTH SAN FRANCISCO,CA,5,1572383,2010
"AVIGENICS, INC.",Waltham,MA,1,377553,2010
"AVIV BIOMEDICAL, INC.",LAKEWOOD,NJ,1,170158,2010
"AXIO RESEARCH, LLC",SEATTLE,WA,1,5078168,2010
"AXION BIOSYSTEMS, LLC",DECATUR,GA,2,800473,2010
"AZANO PHARMACEUTICALS, INC.",ALBUQUERQUE,NM,1,146716,2010
"AZEVAN PHARMACEUTICALS, INC.",BETHLEHEM,PA,1,349195,2010
"B3 BIO, INC.",RESEARCH TRIANGLE PARK,NC,1,183938,2010
"BACILLIGEN, INC.",ROCKVILLE,MD,1,174818,2010
"BAKER-CALLING, INC.",ANN ARBOR,MI,1,172307,2010
BALL STATE UNIVERSITY,MUNCIE,IN,1,433500,2010
"BALTIMORE CITY HEALTHY START, INC.",BALTIMORE,MD,1,497447,2010
BANNER ALZHEIMER'S INSTITUTE,PHOENIX,AZ,1,1296640,2010
"BANYAN BIOMARKERS, INC.",ALACHUA,FL,1,367775,2010
"BARLOW SCIENTIFIC, INC.",OLYMPIA,WA,1,283561,2010
BARNARD COLLEGE,NEW YORK,NY,3,1173809,2010
"BARRON ASSOCIATES, INC.",CHARLOTTESVILLE,VA,3,1009558,2010
BARRY UNIVERSITY,MIAMI SHORES,FL,3,580866,2010
BARTH SYNDROME FOUNDATION,Chestnut Hill,MA,1,25000,2010
BASTYR UNIVERSITY,KENMORE,WA,5,2337355,2010
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,COLUMBUS,OH,8,51131853,2010
BATTELLE CENTERS/PUB HLTH RES & EVALUATN,COLUMBUS,OH,5,1702561,2010
BATTELLE MEMORIAL INSTITUTE,COLUMBUS,OH,2,6034990,2010
BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,20,15657490,2010
BAY AREA TUMOR INSTITUTE,OAKLAND,CA,1,461201,2010
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,4,21608822,2010
BAYLOR COLLEGE OF MEDICINE,HOUSTON,TX,445,202869815,2010
BAYLOR RESEARCH INSTITUTE,DALLAS,TX,11,10470847,2010
BAYLOR UNIVERSITY,WACO,TX,2,797212,2010
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,1,1003256,2010
BAYSTATE MEDICAL CENTER,SPRINGFIELD,MA,1,628611,2010
"BCN BIOSCIENCES, LLC",PASADENA,CA,1,160735,2010
"BEACON BIOTECHNOLOGY, LLC",AURORA,CO,1,329529,2010
"BEHAVIOR THERAPY ASSOCIATES, LLP",ALBUQUERQUE,NM,1,349358,2010
"BEHAVIORAL ASSESSMENT, INC.",BEVERLY HILLS,CA,1,130690,2010
"BEHAVIORAL PHARMA, INC.",LA JOLLA,CA,1,375000,2010
"BEHAVIORAL RESEARCH, INC.",ALBUQUERQUE,NM,1,749910,2010
"BEHAVIORAL TECH RESEARCH, INC.",SEATTLE,WA,3,1491842,2010
"BELLBROOK LABS, LLC",MADISON,WI,4,1775300,2010
"BEN VENUE LABORATORIES, INC.",BEDFORD,OH,1,690041,2010
BENAROYA RESEARCH INST AT VIRGINIA MASON,SEATTLE,WA,19,10306573,2010
BENEDICT COLLEGE,COLUMBIA,SC,2,223528,2010
BENEDICTINE UNIVERSITY,LISLE,IL,1,223472,2010
"BENTEN TECHNOLOGIES, INC.",Herndon,VA,1,204362,2010
"BERKELEY ANALYTICS, INC.",BERKELEY,CA,1,408002,2010
BERNARD M. BARUCH COLLEGE,NEW YORK,NY,2,242197,2010
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,1,2477572,2010
BETH ISRAEL DEACONESS MEDICAL CENTER,BOSTON,MA,275,133203547,2010
BETH ISRAEL MEDICAL CTR (NEW YORK),NEW YORK,NY,4,2358062,2010
"BEXION PHARMACEUTICALS, INC.",Covington,KY,1,670367,2010
BILLINGS CLINIC FOUNDATION,BILLINGS,MT,1,337278,2010
"BIO TILLION, LLC",PRINCETON,NJ,1,615532,2010
"BIOASSAY SYSTEMS, LLC",HAYWARD,CA,1,999913,2010
"BIOCAX, LLC",SEWICKLEY,PA,1,99829,2010
BIOCHEMANALYSIS CORPORATION,CHICAGO,IL,1,286755,2010
"BIODETECTION INSTRUMENTS, LLC",FAYETTEVILLE,AR,1,336621,2010
"BIODISCOVERY, LLC",ANN ARBOR,MI,3,963901,2010
BIOELECTROMED CORPORATION,BURLINGAME,CA,3,1656225,2010
"BIOFLUIDICA MICROTECHNOLOGIES, LLC",BATON ROUGE,LA,1,199517,2010
"BIOFORMATIX, INC.",SAN DIEGO,CA,1,149998,2010
BIOHELIX CORPORATION,BEVERLY,MA,4,2542593,2010
"BIOINFORMATICA, LLC",TEXARKANA,AR,1,128288,2010
"BIOINQUIRE, LLC",Athens,GA,1,368001,2010
"BIOINVENTIONS, LLC",JOHNSON CITY,TN,1,332135,2010
"BIOINVISION, INC.",Cleveland,OH,1,248300,2010
"BIOLAMINEX, INC.",TAMPA,FL,1,147066,2010
"BIOLINK LIFE SCIENCES, INC.",CARY,NC,1,194509,2010
"BIOLOGICAL MIMETICS, INC.",FREDERICK,MD,1,298345,2010
BIOLOGICAL SCIENCES CURRICULUM STUDY,COLORADO SPRINGS,CO,1,3378585,2010
"BIOMARCK PHARMACEUTICALS, LTD",DURHAM,NC,0,80000,2010
"BIOMARKER STRATEGIES, LLC",BALTIMORE,MD,1,1011413,2010
"BIOMATRICA, INC.",SAN DIEGO,CA,1,145760,2010
BIOMEDICA MANAGEMENT CORPORATION,NEW YORK,NY,1,474943,2010
BIOMEDICAL DEVELOPMENT CORPORATION,SAN ANTONIO,TX,1,410355,2010
"BIOMEDICAL ENTERPRISES, INC.",BETHESDA,MD,1,239811,2010
BIOMEDICAL RESEARCH INSTITUTE,ROCKVILLE,MD,1,389861,2010
BIOMEDICAL RESEARCH INSTITUTE OF NEW MEX,ALBUQUERQUE,NM,6,1103246,2010
"BIOMEDICAL RESEARCH MODELS, INC.",WORCESTER,MA,2,1202180,2010
BIOMEDISYN CORPORATION,WOODBRIDGE,CT,1,492152,2010
"BIOMEDOMICS, INC.",RESAERCH TRIANGLE PARK,NC,3,399556,2010
BIOMEDWARE,ANN ARBOR,MI,3,1019594,2010
"BIONANOMATRIX, INC.",PHILADELPHIA,PA,1,893928,2010
"BIONOVO, INC.",EMERYVILLE,CA,1,174223,2010
"BIOPAL, INC",WORCESTER,MA,2,487625,2010
"BIOPEPTIDES, INC.",EAST SETAUKET,NY,1,727043,2010
BIOPHYSICAL SOCIETY,Rockville,MD,1,252414,2010
BIOPOWERTECH,TUSCALOOSA,AL,1,329560,2010
BIOPROTECTION SYSTEMS CORPORATION,AMES,IA,1,299975,2010
"BIOPSY SCIENCES, LLC",CLEARWATER,FL,1,181979,2010
"BIOPTIGEN, INC.",DURHAM,NC,1,652985,2010
"BIOQUAL, INC.",ROCKVILLE,MD,1,2234688,2010
BIO-QUICK CORPORATION,SILVER SPRING,MD,1,12500,2010
"BIORASIS, INC.",MANSFIELD,CT,1,444301,2010
BIORELIANCE CORPORATION,ROCKVILLE,MD,1,10780,2010
"BIOSCAN, INC.",WASHINGTON,DC,1,102651,2010
"BIOSCIENCE DEVELOPMENT, INC.",NEW YORK,NY,1,1015396,2010
"BIOSENTINEL, LLC",Madison,WI,1,288512,2010
"BIOSETTIA, INC.",SAN DIEGO,CA,1,99954,2010
"BIOSPEECH, INC.",LAKE OSWEGO,OR,1,536871,2010
